TestId;Number of Threads;Successful;Elapsed Time for Conversion in Nano;Elapsed Total Time in Nano;Image              ;Average for Conversion in ms;Total Average in ms
0     ;8                ;TRUE      ;191667736                          ;684676158                 ;2.kitten_medium.jpg;5,32945569                  ;174,2462736
0     ;8                ;TRUE      ;22982417                           ;197229229                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3254881                            ;166171211                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3907694                            ;174856871                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5116720                            ;216144111                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3206412                            ;162333069                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2876352                            ;156801768                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3158013                            ;165074257                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3179382                            ;157536277                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2948441                            ;170599865                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3285608                            ;172668008                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2797491                            ;165031135                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5565099                            ;172919480                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3170771                            ;176239707                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;6042060                            ;160397602                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3438958                            ;191797355                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3093379                            ;157858191                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3196991                            ;182115086                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3003768                            ;171216063                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2521805                            ;155247319                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5211560                            ;164753817                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2776467                            ;180444800                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2903850                            ;173045580                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2725462                            ;170814004                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2644036                            ;173445679                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5354896                            ;162265547                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2744873                            ;158335628                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3016269                            ;164185989                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;6716678                            ;162185425                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2886280                            ;166554488                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2796573                            ;157509237                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2621910                            ;168082171                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5035358                            ;159915408                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;4232110                            ;220211804                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2989517                            ;166260792                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3971395                            ;206686743                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3883375                            ;184851108                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3123212                            ;159827460                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2971678                            ;159108289                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3538199                            ;188728545                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;4279423                            ;204076867                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3031677                            ;167137103                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;6017441                            ;239338514                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5846383                            ;167095782                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3604299                            ;170815822                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3144411                            ;166305601                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;4306868                            ;169518624                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5361940                            ;188471193                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2735599                            ;169835582                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2914937                            ;164004172                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3008757                            ;172316734                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2804850                            ;169334659                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2860444                            ;215103930                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2795625                            ;160080289                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2581131                            ;164118198                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2738845                            ;162234730                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;4015774                            ;161713735                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2928517                            ;162674091                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2668126                            ;162501602                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2910809                            ;160970758                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2829871                            ;165228827                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;5165700                            ;165760747                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2369687                            ;179220732                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2627212                            ;163723171                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2477049                            ;163045622                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2529419                            ;172234325                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2515405                            ;163105474                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2749382                            ;165117780                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2418718                            ;163032011                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3829674                            ;178283711                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3591829                            ;167896887                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3827785                            ;166008237                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2450140                            ;163066003                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2597596                            ;169042484                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3048799                            ;178313914                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3707384                            ;161317912                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2394626                            ;165423076                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2434210                            ;163347062                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2435281                            ;163028316                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2358236                            ;168034891                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3860287                            ;208898395                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3236386                            ;162958853                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2426434                            ;160734799                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3538115                            ;159837654                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2476093                            ;157416476                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2377655                            ;154632840                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2308989                            ;155395190                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2598648                            ;161197108                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2435674                            ;157989691                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2350677                            ;155928488                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3484363                            ;159605236                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;3358509                            ;159000355                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2541222                            ;159935315                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2320760                            ;155955339                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2537434                            ;153308037                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2240491                            ;150778974                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2449193                            ;151117854                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2298328                            ;150938008                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2345360                            ;151468462                 ;2.kitten_medium.jpg;                            ;
0     ;8                ;TRUE      ;2289416                            ;151525838                 ;2.kitten_medium.jpg;                            ;